Embedding_ID,Memory_Bytes
0,334355
1,334201
2,334163
3,334371
4,334182
5,334166
6,334190
7,334004
8,334310
9,334240
10,333605
11,334458
12,334392
13,333885
14,334320
15,334480
16,334129
17,334545
18,334154
19,334412
20,334277
21,334335
22,334394
23,334209
24,334190
25,334227
26,334425
27,334474
28,334402
29,334468
30,334120
31,334387
32,334414
33,334458
34,334348
35,333989
36,334281
37,333785
38,333769
39,334354
40,334223
41,334484
42,333416
43,334484
44,334192
45,334382
46,334386
47,334249
48,334395
49,334063
50,334125
51,334317
52,334125
53,334430
54,334318
55,334275
56,334171
57,334257
58,334411
59,334297
60,334143
61,334225
62,334258
63,334470
64,334274
65,334419
66,334217
67,334446
68,333686
69,334124
70,334436
71,334436
72,334329
73,334148
74,334271
75,334225
76,334097
77,334396
78,334063
79,334358
80,334258
81,334390
82,334277
83,333863
84,334503
85,334466
86,334129
87,334382
88,334385
89,334399
90,334527
91,334558
92,334076
93,334428
94,334429
95,334168
96,334473
97,334371
98,334370
99,334371
100,334480
101,334431
102,333268
103,334383
104,334152
105,334300
106,334254
107,334190
108,334299
109,334478
110,334324
111,334453
112,334141
113,334533
114,334197
115,334234
116,334361
117,333438
118,334400
119,334357
120,334335
121,334374
122,334332
123,334212
124,334336
125,333944
126,334463
127,334455
128,334322
129,334269
130,333959
131,334415
132,334212
133,334454
134,334390
135,334332
136,334356
137,334442
138,334391
139,334254
140,334334
141,334375
142,334124
143,334192
144,334155
145,334392
146,333318
147,334445
148,334191
149,334384
150,334434
151,334535
152,334508
153,334470
154,334214
155,334141
156,333626
157,334458
158,334465
159,334029
160,334454
161,334421
162,334522
163,334071
164,334342
165,334274
166,334185
167,334338
168,334360
169,334177
170,334318
171,334253
172,334190
173,334034
174,334449
175,334363
176,334121
177,334358
178,334449
179,334116
180,334283
181,334253
182,334426
183,334308
184,334493
185,334029
186,334334
187,334456
188,334201
189,334501
190,334525
191,334299
192,333907
193,334117
194,334354
195,333866
196,334221
197,334441
198,334376
199,334304
200,334202
201,334409
202,334488
203,334072
204,334170
205,334309
206,334390
207,334318
208,334199
209,334436
210,334285
211,334350
212,334303
213,334504
214,334433
215,334315
216,334333
217,334238
218,333866
219,334377
220,334427
221,334471
222,334350
223,334439
224,334297
225,334479
226,334221
227,334207
228,334434
229,334458
230,334166
231,334177
232,334096
233,334216
234,334254
235,334052
236,334313
237,334188
238,333988
239,334462
240,334197
241,334214
242,334182
243,334444
244,334416
245,334178
246,334037
247,334399
248,334257
249,333340
250,334244
251,333688
252,334102
253,334535
254,334414
255,334395
256,334461
257,334365
258,334207
259,334461
260,334355
261,334416
262,334464
263,334312
264,334337
265,334408
266,334440
267,334162
268,334341
269,334408
270,334318
271,334469
272,333279
273,334457
274,334260
275,334222
276,334284
277,334462
278,334364
279,334456
280,334298
281,334399
282,334468
283,334394
284,333367
285,334062
286,334115
287,334118
288,334520
289,334482
290,334345
291,334377
292,334279
293,334151
294,334370
295,334382
296,334359
297,334069
298,334127
299,334453
300,334266
301,334345
302,334218
303,334314
304,334194
305,334463
306,334316
307,333821
308,333842
309,334283
310,334200
311,334433
312,334383
313,334460
314,334417
315,334116
316,334396
317,334470
318,334122
319,334219
320,334370
321,334420
322,334137
323,334143
324,334041
325,334365
326,334299
327,334445
328,334396
329,334271
330,334460
331,334396
332,334223
333,334132
334,334472
335,334235
336,334182
337,334371
338,334433
339,334463
340,334173
341,334322
342,334375
343,334501
344,334429
345,334040
346,333455
347,334180
348,334167
349,334453
350,334194
351,334288
352,334417
353,334472
354,334134
355,334435
356,334169
357,334315
358,334476
359,334379
360,334375
361,334335
362,334286
363,334257
364,334112
365,334244
366,334379
367,334392
368,334294
369,334378
370,334438
371,334257
372,334303
373,334452
374,334487
375,334179
376,334346
377,334428
378,334149
379,334399
380,334391
381,334420
382,334273
383,334136
384,333379
385,334183
386,334282
387,334469
388,334327
389,334129
390,334467
391,334411
392,334318
393,334396
394,334434
395,334217
396,334416
397,334088
398,334251
399,334349
400,334177
401,334380
402,334391
403,334193
404,334349
405,334186
406,334329
407,334259
408,334237
409,334406
410,334495
411,334367
412,334277
413,334434
414,334480
415,334052
416,334430
417,334308
418,334253
419,333989
420,334319
421,334342
422,334274
423,334206
424,334533
425,333945
426,333324
427,334449
428,334206
429,334269
430,334333
431,334384
432,334231
433,334164
434,334436
435,334361
436,334091
437,334281
438,334435
439,334307
440,334228
441,334284
442,334444
443,334339
444,334540
445,334506
446,334331
447,333354
448,333471
449,334451
450,334410
451,334392
452,334272
453,334550
454,334489
455,334195
456,334445
457,334484
458,334382
459,334048
460,334311
461,334390
462,334175
463,334446
464,334105
465,334474
466,334346
467,334155
468,334330
469,334346
470,334376
471,333919
472,334328
473,334415
474,334318
475,334374
476,334448
477,334204
478,334358
479,334483
480,334517
481,334128
482,334541
483,334393
484,334467
485,333717
486,334279
487,334351
488,334383
489,334471
490,333914
491,334504
492,334450
493,334463
494,334327
495,334368
496,334487
497,334552
498,334377
499,333448
500,334441
501,334297
502,334450
503,334370
504,334489
505,333876
506,334316
507,334462
508,334180
509,333337
510,334396
511,334284
512,333999
513,334461
514,334110
515,334223
516,334327
517,334064
518,334476
519,334364
520,334178
521,334395
522,334410
523,334447
524,334477
525,333371
526,334406
527,334445
528,334521
529,334360
530,334389
531,334217
532,334200
533,334343
534,334365
535,334476
536,334408
537,334160
538,334225
539,334361
540,334476
541,334340
542,334173
543,334356
544,334123
545,334401
546,334401
547,334307
548,334113
549,334430
550,334407
551,333909
552,334334
553,333484
554,334380
555,334428
556,334431
557,334447
558,334357
559,334174
560,334472
561,334178
562,334306
563,334384
564,334298
565,334435
566,334384
567,334015
568,334284
569,334160
570,334361
571,334201
572,334271
573,334529
574,334344
575,334512
576,334168
577,334136
578,334503
579,333988
580,334314
581,334284
582,334447
583,334469
584,334115
585,334338
586,334489
587,334390
588,334371
589,333929
590,334098
591,334278
592,334217
593,334370
594,334311
595,334301
596,334257
597,334410
598,334265
599,334363
600,334442
601,334347
602,334419
603,334418
604,334147
605,334463
606,334494
607,334171
608,334054
609,334375
610,334514
611,334117
612,334496
613,334309
614,334147
615,334181
616,334380
617,334372
618,334106
619,333749
620,334409
621,334476
622,334410
623,334366
624,334258
625,334273
626,334418
627,334414
628,334273
629,334146
630,334133
631,334180
632,334288
633,334149
634,334485
635,334072
636,334426
637,334261
638,334337
639,334490
640,334443
641,334050
642,334140
643,334439
644,334292
645,334036
646,334461
647,333996
648,334339
649,334192
650,334374
651,334449
652,334461
653,334400
654,334242
655,334137
656,334435
657,334408
658,334389
659,334318
660,334115
661,334531
662,334426
663,334290
664,334121
665,334129
666,334397
667,334401
668,334318
669,334160
670,334061
671,333608
672,334206
673,334250
674,334143
675,334348
676,334428
677,334398
678,334226
679,334391
680,334355
681,334357
682,334368
683,334455
684,334434
685,334349
686,333685
687,334461
688,334440
689,334247
690,334416
691,334394
692,334476
693,333515
694,334312
695,334444
696,333681
697,334196
698,333867
699,334192
700,334407
701,334312
702,334163
703,334527
704,334220
705,334166
706,334145
707,334087
708,334230
709,334327
710,334197
711,334172
712,334357
713,333998
714,334501
715,334306
716,334499
717,334456
718,334379
719,334351
720,334336
721,334516
722,334188
723,334542
724,334418
725,334211
726,334192
727,334448
728,334221
729,334359
730,334149
731,334522
732,334346
733,334028
734,334524
735,334317
736,334455
737,334287
738,334441
739,334163
740,334195
